longitud,latitud, nombre
-100.3330562,25.6685368,PA1
-100.3283272,25.6698497,PA2
-100.3086036,25.6738673,PA25
-100.3282199,25.6707586,PA3
-100.3261873,25.6811014,PA4
-100.3258655,25.683596,PA5
-100.3200933,25.6766729,PA6
-100.3193853,25.6766342,PA7
-100.3227756,25.6755899,PA8
-100.3198514,25.6757095,PR1
-100.3227886,25.6762706,PR10
-100.3144998,25.6762513,PR11
-100.318963,25.6843733,PR12
-100.318169,25.6860577,PR13
-100.3168387,25.686135,PR14
-100.3181798,25.6846412,PR15
-100.3172142,25.6846122,PR16
-100.3073329,25.6852841,PR17
-100.3057286,25.683974,PR18
-100.3040764,25.6838097,PR19
-100.3212676,25.6753614,PR2
-100.3060827,25.6823207,PR20
-100.3044412,25.6812185,PR21
-100.3050646,25.6805315,PR22
-100.3053221,25.6787523,PR23
-100.3067383,25.6703398,PR24
-100.2991852,25.6706879,PR25
-100.2994856,25.6686572,PR26
-100.3081545,25.6636674,PR27
-100.3059229,25.6694889,PR28
-100.3260073,25.6671874,PR29
-100.3183923,25.6748676,PR3
-100.3308782,25.6815564,PR30
-100.3210291,25.6767411,PR31
-100.3232071,25.6780136,PR32
-100.3060839,25.6649497,PR33
-100.3229054,25.6849167,PR34
-100.3239796,25.6859996,PR35
-100.3253529,25.6852648,PR36
-100.322046,25.6768856,PR38
-100.3260916,25.6680484,PR39
-100.3185615,25.6743948,PR4
-100.3315526,25.6738068,PR40
-100.3267193,25.6730381,PR41
-100.3229749,25.6752041,PR42
-100.3231466,25.6760066,PR43
-100.3231251,25.6764128,PR44
-100.3214514,25.6766448,PR45
-100.3194988,25.6764804,PR46
-100.3193057,25.6766835,PR47
-100.3189945,25.6766255,PR48
-100.3163338,25.6766738,PR49
-100.3182825,25.6758065,PR5
-100.3153789,25.6763064,PR50
-100.3174067,25.6726126,PR51
-100.3172457,25.6722742,PR52
-100.3179324,25.6715296,PR53
-100.3160226,25.6713459,PR54
-100.315218,25.6713749,PR55
-100.3151804,25.6716312,PR56
-100.3151429,25.671943,PR57
-100.3156954,25.6736741,PR58
-100.3148907,25.6735967,PR59
-100.3175959,25.6756711,PR6
-100.3140539,25.6762123,PR60
-100.3138661,25.676396,PR61
-100.3137374,25.6762026,PR62
-100.3134584,25.6762075,PR63
-100.3134745,25.6765072,PR64
-100.3133404,25.6767925,PR65
-100.3109422,25.6677919,PR66
-100.3010502,25.669726,PR67
-100.3033569,25.6794922,PR68
-100.2972415,25.6824558,PR69
-100.3191838,25.6758452,PR7
-100.3078201,25.6831133,PR70
-100.3073481,25.6831133,PR71
-100.3071335,25.6825331,PR72
-100.306876,25.6824558,PR73
-100.3102234,25.6853007,PR74
-100.3084209,25.6851267,PR75
-100.3120258,25.6856488,PR76
-100.3130343,25.6858228,PR77
-100.3143647,25.6859195,PR78
-100.3177336,25.6862676,PR79
-100.3193554,25.675265,PR8
-100.3173044,25.6854941,PR80
-100.3187099,25.6861371,PR81
-100.3189909,25.6863906,PR82
-100.3193664,25.6864776,PR83
-100.3200746,25.6863712,PR84
-100.3195488,25.686816,PR85
-100.3190553,25.6867271,PR86
-100.3199029,25.6869108,PR87
-100.3188729,25.6872492,PR88
-100.3217697,25.6841165,PR89
-100.3194198,25.6745881,PR9
-100.3212547,25.6836622,PR90
-100.3231351,25.6848567,PR91
-100.3236608,25.6849147,PR92
-100.327609,25.6872256,PR93
-100.3318362,25.6772037,PR94
-100.2992297,25.6807927,PA9
-100.2983928,25.6798257,PA10
-100.308609,25.6825761,PA11
-100.3077453,25.6817011,PA12
-100.3078365,25.6808406,PA13
-100.3088879,25.6803668,PA14
-100.307114,25.6789669,PA15
-100.3091646,25.6786381,PA16
-100.3081937,25.6782128,PA17
-100.3093524,25.6769365,PA18
-100.3085262,25.6755972,PA19
-100.3052141,25.6760539,PA20
-100.3085386,25.6714319,PA21
-100.309592,25.6687398,PA22
-100.3101177,25.6676664,PA23
-100.3299401,25.6873444,PA25
-100.309187,25.6672409,PA24
-100.3165995,25.6861306,PA26
-100.3166831,25.6866161,PA27
-100.3160684,25.6861906,PA28
-100.3166907,25.6841409,PA29
-100.318734,25.680121,PA30
-100.3184122,25.6827896,PA31
-100.3207282,25.6867597,PA32
-100.3215437,25.686837,PA33
-100.3215007,25.6878039,PA34
-100.2972713,25.6832138,PA34
-100.3033782,25.679513,PA35
-100.3229043,25.6754932,PA36
-100.3225903,25.6753294,PA37
-100.3210239,25.6760256,PA38
-100.3202514,25.6759483,PA39
-100.3184489,25.6737243,PA40
-100.3169392,25.6764799,PA41
-100.3166495,25.6764509,PA42
-100.316317,25.6764392,PA43
-100.3157483,25.6763715,PA44
-100.314273,25.6765123,PA45
-100.3132537,25.6768894,PA46
-100.3085421,25.6764269,PA47
-100.3097132,25.6673204,PA48
-100.3256077,25.6693906,PA49
