longitud,latitud, nombre
-100.3035504,25.6771911,"	PV1"
-100.3294112,25.6786411,"	PV2"
-100.3315569,25.6779836,"	PV3"
-100.3312565,25.6792986,"	PV4"
-100.330779,25.6762226,"	PV5"
-100.3307963,25.673293,"	PV6"
-100.3305173,25.6712527,"	PV7"
-100.3270144,25.670551,"	PV8"
-100.3202751,25.6693712,"	PV9"
-100.319503,25.6759325,"	PV10"
-100.3175629,25.668713,"	PV11"
-100.3101119,25.66528,"	PV12"
-100.3075825,25.6664437,"	PV13"
-100.3078937,25.6672173,"	PV14"
-100.3071319,25.6682423,"	PV15"
-100.3059879,25.6711454,"	PV16"
-100.3054192,25.671184,"	PV17"
-100.305795,25.6746773,"	PV19"
-100.3054195,25.672521,"	PV18"
-100.3077691,25.6727821,"	PV20"
-100.3097647,25.6725403,"	PV21"
-100.3102234,25.6709742,"	PV22"
-100.3109959,25.6699105,"	PV23"
-100.3106683,25.668505,"	PV24"
-100.3090382,25.6738237,"	PV25"
-100.3202978,25.6868357,"	PV26"
-100.3228512,25.6761322,"	PV27"
-100.3219715,25.6768187,"	PV28"
-100.3212097,25.676751,"	PV29"
-100.3204265,25.6767607,"	PV30"
-100.322068,25.675523,"	PV31"
-100.3209308,25.6754553,"	PV32"
-100.3202549,25.6757357,"	PV33"
-100.3184739,25.6713747,"	PV34"
-100.315738,25.6687686,"	PV35"
-100.317519,25.6693681,"	PV36"
-100.3173903,25.6698904,"	PB37"
-100.3154161,25.6675212,"	PV38"
-100.3140429,25.6673858,"	PV39"
-100.3132344,25.6673362,"	PV40"
-100.3122259,25.6679648,"	PV41"
-100.3115017,25.6679116,"	PV42"
-100.3117377,25.6689342,"	PV43"
-100.3114481,25.6692908,"	PV44"
-100.311255,25.6660223,"	PV45"
-100.3115125,25.6665638,"	PV46"
-100.3110726,25.6664671,"	PV47"
-100.3113944,25.667202,"	PV48"
-100.3110618,25.6671537,"	PV49"
-100.3104396,25.6679176,"	PV50"
-100.3098924,25.6678306,"	PV51"
-100.3096671,25.6683638,"	PV52"
-100.3094203,25.6689923,"	PV53"
-100.3112764,25.6653854,"	PV54"
-100.3101713,25.665175,"	PV55"
-100.3076232,25.671185,"	PV56"
-100.3074623,25.6716105,"	PV57"
-100.3042115,25.6700754,"	PV58"
-100.2986861,25.6728119,"	PV59"
-100.2986861,25.6724542,"	PV60"
-100.3138031,25.6768949,"	PV61"
