latitud,longitud
25.686265,-100.315943
25.68955,-100.311553
25.686633,-100.316305
25.670597,-100.302936
25.682631,-100.312191
25.684212,-100.294898
25.687235,-100.330146
25.669234,-100.318905
25.673777,-100.313385
25.67248,-100.320728
25.685456,-100.318712
25.681922,-100.311001
25.6897,-100.310547
25.674312,-100.300177
25.674674,-100.315914
25.683541,-100.325641
25.683589,-100.303019
25.684132,-100.302172
25.666829,-100.317261
25.673177,-100.320084
25.68216,-100.327128
25.667769,-100.299931
25.674933,-100.298485
25.688451,-100.328437
25.677742,-100.312135
25.686722,-100.315887
25.686545,-100.316461
25.666845,-100.302827
25.68982,-100.310209
25.680858,-100.323694
25.688946,-100.32671
25.689171,-100.320981
25.689027,-100.29897
25.689148,-100.32414
25.689314,-100.321807
25.686085,-100.316572
25.684906,-100.299935
25.675821,-100.314961
25.682015,-100.292981
25.686961,-100.315053
25.677792,-100.324367
25.687729,-100.31183
25.67681,-100.312863
25.685188,-100.306896
25.681495,-100.310327
25.681792,-100.311151
25.689487,-100.327242
25.670141,-100.302871
25.680674,-100.291818
25.668618,-100.298351
25.677418,-100.318435
25.689992,-100.312368
25.672073,-100.307091
25.672873,-100.306202
25.674053,-100.29919
25.675555,-100.296574
25.672577,-100.314066
25.678712,-100.299743
25.686711,-100.315582
25.672597,-100.306381
25.684764,-100.293914
25.680984,-100.32559
25.677267,-100.331648
25.687292,-100.316629
25.686693,-100.311671
25.680949,-100.323531
25.686999,-100.295554
25.676639,-100.327726
25.678415,-100.29594
25.678883,-100.295712
25.6795,-100.305099
25.677176,-100.295601
25.686144,-100.314208
25.685661,-100.314085
25.670111,-100.308514
25.683269,-100.323179
25.670408,-100.325023
25.676588,-100.300138
25.676529,-100.29412
25.677707,-100.311095
25.686989,-100.321412
25.683474,-100.314207
25.684409,-100.319484
25.689048,-100.300589
25.676204,-100.315484
25.689583,-100.313182
25.676528,-100.314181
25.689291,-100.32704
25.686797,-100.320964
25.685991,-100.317972
25.684555,-100.321176
25.675093,-100.312517
25.686175,-100.316046
25.685165,-100.31451
25.668239,-100.32021
25.686086,-100.316225
25.665916,-100.314312
25.676586,-100.322247
25.68966,-100.328198
25.668486,-100.319986
25.686935,-100.305542
25.680703,-100.30003
25.686899,-100.323086
25.680145,-100.296424
25.670993,-100.333084
25.688384,-100.314663
25.685652,-100.316306
25.670828,-100.299416
25.686947,-100.327438
25.682983,-100.306283
25.685467,-100.31765
25.676642,-100.317819
25.671157,-100.314638
25.68635,-100.308812
25.66741,-100.317586
25.685238,-100.319201
25.686013,-100.314416
25.677702,-100.308105
25.690482,-100.328467
25.689933,-100.326823
25.689103,-100.313492
25.668921,-100.300714
25.668494,-100.300946
25.690176,-100.321159
25.668797,-100.31439
25.676742,-100.328921
25.67719,-100.329561
25.673602,-100.306867
25.684951,-100.306822
25.688193,-100.327871
25.667873,-100.315171
25.684694,-100.322801
25.677939,-100.323497
25.678302,-100.322367
25.680383,-100.322425
25.688729,-100.322686
25.674722,-100.314859
25.677633,-100.319413
25.668155,-100.319148
25.679656,-100.309044
25.688831,-100.322381
25.679173,-100.331454
25.689068,-100.329983
25.685083,-100.304571
25.685146,-100.300812
25.670916,-100.299227
25.677573,-100.315293
25.689972,-100.316771
25.689144,-100.327051
25.686361,-100.321793
25.69036,-100.32177
25.676984,-100.293574
25.680311,-100.311774
25.686608,-100.315563
25.672307,-100.323427
25.68923,-100.328688
25.680233,-100.320628
25.674425,-100.314591
25.68285,-100.310882
25.683164,-100.314691
25.670811,-100.299691
25.68209,-100.317861
25.689509,-100.32819
25.685148,-100.319955
25.679039,-100.293454
25.679134,-100.294493
25.669747,-100.302842
25.688754,-100.322452
25.689079,-100.322397
25.678054,-100.33033
25.671727,-100.319903
25.686794,-100.308476
25.681062,-100.324452
25.689584,-100.327973
25.690116,-100.327532
25.680272,-100.310406
25.686896,-100.328034
25.664885,-100.315804
25.686516,-100.315972
25.681084,-100.310737
25.690198,-100.326882
25.685143,-100.311197
25.684157,-100.318588
25.671536,-100.300727
25.676789,-100.316096
25.674853,-100.298403
25.684115,-100.3171
25.674378,-100.297796
25.678604,-100.29856
25.679891,-100.315564
25.677946,-100.303991
25.689679,-100.321806
25.68865,-100.321299
25.676127,-100.311307
25.687801,-100.313032
25.676819,-100.31809
25.686568,-100.316036
25.676626,-100.3192
25.686733,-100.323033
25.684158,-100.297148
25.676924,-100.312436
25.688333,-100.315291
25.666933,-100.327798
25.666539,-100.327816
25.676729,-100.312706
25.666013,-100.307127
25.670379,-100.299362
25.67063,-100.298979
25.682495,-100.314891
25.668197,-100.315368
25.684314,-100.293043
25.67704,-100.318091
25.690018,-100.321682
25.682106,-100.300121
25.678522,-100.313826
25.681952,-100.311779
25.682036,-100.310803
25.685962,-100.318067
25.686749,-100.330156
25.669004,-100.319541
25.67644,-100.318151
25.679877,-100.323104
25.67788,-100.305406
25.687638,-100.327231
25.686128,-100.315788
25.689368,-100.312056
25.686214,-100.294814
25.684949,-100.3103
25.679605,-100.315571
25.690008,-100.315045
25.680076,-100.293907
25.680718,-100.2941
25.684728,-100.299085
25.683795,-100.298596
25.672702,-100.324414
25.685906,-100.31346
25.68684,-100.322861
25.686653,-100.322572
25.680192,-100.327259
25.680262,-100.326342
25.678894,-100.296624
25.685913,-100.316162
25.686634,-100.316268
25.683002,-100.323912
25.676583,-100.326319
25.687343,-100.305401
25.687052,-100.323988
25.675686,-100.332335
25.675498,-100.332496
25.674471,-100.326302
25.689125,-100.330176
25.682923,-100.311502
25.671727,-100.313545
25.685612,-100.295897
25.687102,-100.305775
25.680672,-100.316926
25.684647,-100.310258
25.676905,-100.304363
25.669454,-100.315297
25.669416,-100.327771
25.684039,-100.297095
25.670559,-100.315567
25.671687,-100.315136
25.671618,-100.315187
25.687181,-100.304211
25.687271,-100.315233
25.686048,-100.317794
25.682839,-100.321903
25.688273,-100.323382
25.677512,-100.304365
25.675232,-100.331293
25.682556,-100.325861
25.689636,-100.327309
25.686547,-100.316189
25.680709,-100.294225
25.675672,-100.315636
25.687006,-100.316128
25.690533,-100.328896
25.68986,-100.312394
25.686517,-100.316034
25.690117,-100.327143
25.667569,-100.31974
25.681109,-100.298303
25.671595,-100.313995
25.68733,-100.30563
25.670195,-100.29916
25.676876,-100.318108
25.679333,-100.295361
25.674485,-100.319472
25.672345,-100.319328
25.685293,-100.304902
25.68177,-100.307253
25.681881,-100.306416
25.686676,-100.312031
25.688147,-100.295988
25.67946,-100.295275
25.673742,-100.307537
25.674216,-100.331376
25.686715,-100.316311
25.676914,-100.316016
25.687232,-100.31466
25.671921,-100.300384
25.685469,-100.313576
25.690278,-100.328685
25.689939,-100.320563
25.687535,-100.305532
25.683418,-100.323367
25.686087,-100.297783
25.684122,-100.293722
25.680476,-100.300924
25.680201,-100.295359
25.674715,-100.297602
25.674274,-100.311363
25.673778,-100.326732
25.680954,-100.310814
25.683307,-100.325621
25.683498,-100.325129
25.68689,-100.321839
25.68701,-100.309107
25.686132,-100.318065
25.675798,-100.306833
25.689786,-100.330029
25.685744,-100.305385
25.689959,-100.327741
25.675317,-100.319098
25.669497,-100.297482
25.667129,-100.304375
25.672049,-100.329353
25.681407,-100.30537
25.677726,-100.313477
25.67549,-100.322781
25.670459,-100.299367
25.670513,-100.298676
25.680005,-100.316142
25.675263,-100.307886
25.685438,-100.315084
25.677831,-100.323462
25.681197,-100.320929
25.666679,-100.303006
25.686006,-100.317006
25.668438,-100.330589
25.683836,-100.31179
25.676549,-100.301785
25.676543,-100.318921
25.675077,-100.319086
25.686136,-100.31663
25.667726,-100.303467
25.681632,-100.314091
25.686053,-100.310869
25.685071,-100.310422
25.686426,-100.311984
25.677195,-100.315202
25.689337,-100.312479
25.686057,-100.294449
25.681831,-100.32001
25.682175,-100.315751
25.685196,-100.320346
25.689094,-100.328693
25.675906,-100.30294
25.682543,-100.316648
25.679217,-100.300452
25.689227,-100.316171
25.689978,-100.321889
25.682282,-100.318317
25.683231,-100.318556
25.687358,-100.315003
25.672404,-100.300227
25.687271,-100.316217
25.68653,-100.319854
25.685359,-100.31123
25.684309,-100.32148
25.678661,-100.311355
25.674026,-100.329963
25.684962,-100.305471
25.679021,-100.323812
25.687451,-100.31517
25.668118,-100.30406
25.672326,-100.305444
25.676542,-100.317066
25.671352,-100.300991
25.689956,-100.322889
25.689967,-100.322644
25.68863,-100.298998
25.678687,-100.32737
25.678957,-100.327326
25.685666,-100.314826
25.670552,-100.302845
25.671346,-100.303096
25.670311,-100.305651
25.671156,-100.303331
25.671196,-100.303528
25.670301,-100.303675
25.671397,-100.303649
25.670717,-100.302959
25.670796,-100.303968
25.674617,-100.317467
25.688983,-100.300721
25.688559,-100.301228
25.681329,-100.324457
25.671126,-100.314956
25.681044,-100.32438
25.690002,-100.312621
25.676857,-100.320266
25.686287,-100.315731
25.68665,-100.321915
25.679623,-100.303252
25.683617,-100.325461
25.681732,-100.308579
25.689958,-100.323425
25.66883,-100.31515
25.671089,-100.317035
25.680827,-100.323491
25.68658,-100.315901
25.672117,-100.318547
25.688227,-100.301831
25.685699,-100.314107
25.676167,-100.312302
25.676811,-100.318381
25.681987,-100.296934
25.68188,-100.316334
25.687301,-100.316154
25.686537,-100.315719
25.677309,-100.32477
25.679936,-100.308896
25.675973,-100.313735
25.675793,-100.293404
25.677287,-100.304591
25.671258,-100.299053
25.686375,-100.301739
25.677392,-100.319393
25.675027,-100.319627
25.689771,-100.322112
25.685771,-100.317532
25.68673,-100.31266
25.684761,-100.296827
25.685606,-100.294755
25.681468,-100.328741
25.675069,-100.318572
25.690219,-100.328515
25.666754,-100.302723
25.667189,-100.319568
25.678212,-100.300128
25.677119,-100.299847
25.686221,-100.308052
25.676982,-100.290584
25.670358,-100.302565
25.677339,-100.306276
25.681685,-100.306484
25.686505,-100.312074
25.686874,-100.313163
25.688658,-100.300163
25.68362,-100.312263
25.688291,-100.321594
25.684163,-100.293483
25.681011,-100.323886
25.685478,-100.293529
25.68426,-100.297537
25.681434,-100.294634
25.687046,-100.313515
25.67619,-100.316987
25.686489,-100.316079
25.683253,-100.315546
25.667239,-100.30368
25.670271,-100.299107
25.677898,-100.317634
25.669503,-100.308071
25.687177,-100.314466
25.680812,-100.324102
25.682228,-100.312386
25.684759,-100.320092
25.680899,-100.315382
25.686634,-100.32642
25.686058,-100.317152
25.670524,-100.33196
25.680311,-100.310455
25.687631,-100.313397
25.688479,-100.313632
25.687947,-100.313728
25.684041,-100.317724
25.680949,-100.32619
25.678081,-100.32663
25.686931,-100.316014
25.686882,-100.329178
25.68843,-100.328213
25.687882,-100.294488
25.676988,-100.312111
25.670029,-100.326925
25.687068,-100.3148
25.686943,-100.31487
25.667889,-100.303736
25.676534,-100.296092
25.677426,-100.316763
25.679495,-100.296821
25.675985,-100.308589
25.686944,-100.315507
25.684408,-100.313904
25.686018,-100.295194
25.678982,-100.300105
25.686368,-100.316887
25.684575,-100.316627
25.683722,-100.316005
25.670911,-100.320848
25.670532,-100.322243
25.683442,-100.319207
25.669115,-100.307023
25.67683,-100.317029
